DATE,TOTAL_CASES,NEW_CASES,TOTAL_CONFIRMED,NEW_CONFIRMED,TOTAL_PROBABLE,NEW_PROBABLE,POS_TESTS,NEG_TESTS,TOTAL_TESTS,NEW_TESTS,NEW_DEATHS,TOTAL_DEATHS,NEW_ACTIVE,TOTAL_ACTIVE,NEW_INACTIVE_RECOVERED,TOTAL_INACTIVE_RECOVERED,NEW_HOSP,TOTAL_HOSP,TOTAL_DEATHS_BY_DOD,NEW_DEATHS_BY_DOD
5/30/20,22717,461,22572,459,145,2,25946,433357,459303,9727,4,364,164,3475,293,18878,21,1942,427,10
5/29/20,22256,231,22113,228,143,3,25377,424199,449576,7118,4,360,-170,3311,397,18585,14,1921,417,7
5/28/20,22025,599,21885,598,140,1,25112,417346,442458,9274,3,356,221,3481,375,18188,31,1907,410,4
5/27/20,21426,216,21287,210,139,6,24440,408744,433184,6554,10,353,-126,3260,332,17813,26,1876,406,7
5/26/20,21210,356,21077,346,133,10,24248,402382,426630,7020,5,343,-34,3386,385,17481,20,1850,399,4
5/25/20,20854,601,20731,600,123,1,23847,395763,419610,11221,2,338,251,3420,348,17096,27,1830,395,6
5/24/20,20253,331,20131,331,122,0,23136,385253,408389,11949,7,336,120,3169,204,16748,17,1803,389,10
5/23/20,19922,421,19800,416,122,5,22719,373721,396440,11357,14,329,241,3049,166,16544,20,1786,379,6
5/22/20,19501,385,19384,381,117,4,22156,362927,385083,8791,2,315,84,2808,299,16378,28,1766,373,3
5/21/20,19116,385,19003,384,113,1,21732,354560,376292,6757,4,313,-255,2724,636,16079,15,1738,370,8
5/20/20,18731,259,18619,258,112,1,21343,348192,369535,8522,4,309,-314,2979,569,15443,17,1723,362,5
5/19/20,18472,335,18361,334,111,1,21027,339986,361013,6561,4,305,-98,3293,429,14874,25,1706,357,2
5/18/20,18137,343,18027,341,110,2,20638,333814,354452,8935,3,301,0,3391,340,14445,22,1681,355,4
5/17/20,17794,472,17686,472,108,0,20218,325299,345517,14078,3,298,305,3391,164,14105,21,1659,351,7
5/16/20,17322,261,17214,244,108,17,19625,311814,331439,11042,5,295,44,3086,212,13941,17,1638,344,6
5/15/20,17061,193,16970,191,91,2,19242,301155,320397,8270,3,290,-197,3042,387,13729,9,1621,338,8
5/14/20,16868,264,16779,263,89,1,19024,293103,312127,10224,14,287,-117,3239,367,13342,14,1612,330,15
5/13/20,16604,322,16516,319,88,3,18672,283231,301903,10041,9,273,-494,3356,807,12975,27,1598,315,11
5/12/20,16282,697,16197,697,85,0,18290,273572,291862,14887,13,264,-410,3850,1094,12168,22,1571,304,8
5/11/20,15585,555,15500,552,85,3,17474,259501,276975,9909,8,251,179,4260,368,11074,20,1549,296,4
5/10/20,15030,247,14948,244,82,3,16901,250165,267066,10156,1,243,64,4081,182,10706,10,1529,292,4
5/9/20,14783,246,14704,244,79,2,16541,240369,256910,9843,1,242,10,4017,235,10524,13,1519,288,8
5/8/20,14537,195,14460,194,77,1,16215,230852,247067,6611,4,241,-198,4007,389,10289,12,1506,280,6
5/7/20,14342,392,14266,390,76,2,15967,224489,240456,10765,-2,237,79,4205,315,9900,23,1494,274,8
5/6/20,13950,260,13876,260,74,0,15503,214188,229691,5908,13,239,-92,4126,339,9585,13,1471,266,3
5/5/20,13690,189,13616,188,74,1,15184,208599,223783,7847,7,226,-141,4218,323,9246,24,1458,263,10
5/4/20,13501,312,13428,308,73,4,14939,200997,215936,7108,9,219,-306,4359,609,8923,20,1434,253,6
5/3/20,13189,371,13120,365,69,6,14578,194250,208828,9464,1,210,119,4665,251,8314,25,1414,247,9
5/2/20,12818,238,12755,237,63,1,14140,185224,199364,7041,5,209,-99,4546,332,8063,18,1389,238,5
5/1/20,12580,769,12518,764,62,5,13787,178536,192323,9535,5,204,469,4645,295,7731,17,1371,233,5
4/30/20,11811,1002,11754,998,57,4,12976,169812,182788,5068,4,199,779,4176,219,7436,31,1354,228,5
4/29/20,10809,568,10756,566,53,2,11945,165775,177720,11035,7,195,331,3397,230,7217,30,1323,223,5
4/28/20,10241,274,10190,270,51,4,11278,155407,166685,6584,4,188,40,3066,230,6987,32,1293,218,6
4/27/20,9967,297,9920,293,47,4,10969,149132,160101,5450,3,184,-14,3026,308,6757,35,1261,212,5
4/26/20,9670,298,9627,297,43,1,10649,144002,154651,6615,3,181,139,3040,156,6449,17,1226,207,4
4/25/20,9372,302,9330,297,42,5,10302,137734,148036,4502,10,178,132,2901,160,6293,22,1209,203,6
4/24/20,9070,469,9033,460,37,9,9962,133572,143534,14346,-2,168,247,2769,224,6133,40,1187,197,5
4/23/20,8601,452,8573,450,28,2,9399,119789,129188,5112,4,170,300,2522,148,5909,17,1147,192,10
4/22/20,8149,499,8123,497,26,2,8915,115161,124076,8910,9,166,281,2222,209,5761,18,1130,182,3
4/21/20,7650,288,7626,286,24,2,8377,106789,115166,6858,5,157,96,1941,187,5552,24,1112,179,5
4/20/20,7362,251,7340,243,22,8,8045,100263,108308,6509,4,152,27,1845,220,5365,27,1088,174,4
4/19/20,7111,276,7097,276,14,0,7788,94011,101799,5191,3,148,151,1818,122,5145,10,1061,170,3
4/18/20,6835,173,6821,173,14,0,7464,89144,96608,5065,3,145,8,1667,162,5023,11,1051,167,2
4/17/20,6662,320,6648,319,14,1,7221,84322,91543,3257,1,142,125,1659,194,4861,30,1040,165,3
4/16/20,6342,291,6329,291,13,0,6858,81428,88286,4135,6,141,80,1534,205,4667,23,1010,162,6
4/15/20,6051,263,6038,263,13,0,6499,77652,84151,3108,11,135,19,1454,233,4462,18,987,156,6
4/14/20,5788,182,5775,182,13,0,6192,74851,81043,1755,15,124,-48,1435,215,4229,29,969,150,10
4/13/20,5606,217,5593,216,13,1,5967,73321,79288,4655,8,109,-9,1483,218,4014,38,940,140,8
4/12/20,5389,224,5377,222,12,2,5685,68948,74633,4964,0,101,82,1492,142,3796,32,902,132,8
4/11/20,5165,292,5155,292,10,0,5445,64224,69669,5134,3,101,26,1410,263,3654,42,870,124,7
4/10/20,4873,195,4863,194,10,1,5054,59481,64535,2384,4,98,-29,1384,220,3391,22,828,117,2
4/9/20,4678,280,4669,280,9,0,4866,57285,62151,3338,15,94,52,1413,213,3171,42,806,115,5
4/8/20,4398,205,4389,205,9,0,4567,54246,58813,2824,7,79,-46,1361,244,2958,30,764,110,16
4/7/20,4193,305,4184,305,9,0,4335,51654,55989,4984,7,72,59,1407,239,2714,43,734,94,7
4/6/20,3888,228,3879,228,9,0,3987,47018,51005,3679,21,65,-71,1348,278,2475,47,691,87,7
4/5/20,3660,312,3651,311,9,1,3740,43586,47326,3731,1,44,127,1419,184,2197,46,644,80,10
4/4/20,3348,201,3340,201,8,0,3388,40207,43595,3604,6,43,-14,1292,209,2013,26,598,70,4
4/3/20,3147,253,3139,252,8,1,3169,36822,39991,2502,5,37,3,1306,245,1804,42,572,66,16
4/2/20,2894,270,2887,270,7,0,2922,34567,37489,3991,8,32,37,1303,225,1559,58,530,50,6
4/1/20,2624,357,2617,357,7,0,2615,30883,33498,3642,1,24,134,1266,222,1334,58,472,44,8
3/31/20,2267,287,2260,287,7,0,2252,27604,29856,3025,10,23,70,1132,207,1112,46,414,36,8
3/30/20,1980,439,1973,439,7,0,1938,24893,26831,4949,6,13,226,1062,207,905,83,368,28,6
3/29/20,1541,102,1534,102,7,0,1493,20389,21882,822,1,7,-47,836,148,698,35,285,22,6
3/28/20,1439,196,1432,191,7,5,1401,19659,21060,2380,0,6,89,883,107,550,39,250,16,4
3/27/20,1243,207,1241,207,2,0,1200,17480,18680,2847,3,6,96,794,108,443,42,211,12,2
3/26/20,1036,167,1034,166,2,1,993,14840,15833,2946,0,3,84,698,83,335,30,169,10,4
3/25/20,869,157,868,157,1,0,815,12072,12887,2126,1,3,78,614,78,252,35,139,6,1
3/24/20,712,85,711,85,1,0,671,10090,10761,1127,0,2,30,536,55,174,21,104,5,1
3/23/20,627,122,626,122,1,0,599,9035,9634,1575,0,2,84,506,38,119,13,83,4,0
3/22/20,505,133,504,132,1,1,482,7577,8059,1488,1,2,108,422,24,81,27,70,4,1
3/21/20,372,151,372,151,0,0,392,6179,6571,2089,1,1,121,314,29,57,14,43,3,2
3/20/20,221,162,221,162,0,0,246,4236,4482,1081,0,0,142,193,20,28,14,29,1,1
3/19/20,59,30,59,30,0,0,179,3222,3401,835,0,0,22,51,8,8,9,15,0,0
3/18/20,29,11,29,11,0,0,118,2448,2566,591,0,0,11,29,0,0,3,6,0,0
3/17/20,18,4,18,4,0,0,84,1891,1975,1363,0,0,4,18,0,0,0,3,0,0
3/16/20,14,4,14,4,0,0,24,588,612,160,0,0,4,14,0,0,2,3,0,0
3/15/20,10,4,10,4,0,0,21,431,452,30,0,0,4,10,0,0,0,1,0,0
3/14/20,6,5,6,5,0,0,19,403,422,335,0,0,5,6,0,0,1,1,0,0
3/13/20,1,0,1,0,0,0,2,85,87,42,0,0,0,1,0,0,0,0,0,0
3/12/20,1,1,1,1,0,0,2,43,45,45,0,0,1,1,0,0,0,0,0,0
